Username,label,Time,action
老客小头狐狸她妹 07:09,"['', '老客']",07:09,['露露裸感裤有吗']
新客Elaine小楠 07:09,"['', '新客']",07:09,['从推荐来了']
老客杜杜 07:09,"['', '老客']",07:09,['点击了 【0331006】不退换 美国直邮  CK 女士无袖背心【40WP247】']
未关注新客喵喵和猪咪 07:09,"['未关注', '新客']",07:09,['进入直播间']
新客艾普尔尔 07:09,"['', '新客']",07:09,['从推荐来了']
老客伊舒飞婷1023 07:09,"['', '老客']",07:09,['进入直播间']
新客Miracle 07:09,"['', '新客']",07:09,['从推荐来了']
未关注新客杜杜杜 07:09,"['未关注', '新客']",07:09,['从推荐来了']
老客kyrrr 07:09,"['', '老客']",07:09,['从推荐来了']
老客茶茶 07:09,"['', '老客']",07:09,['从直播频道关注来了']
新客爱买买1瑶 07:09,"['', '新客']",07:09,['进入直播间']
新客大白兔兔兔 07:09,"['', '新客']",07:09,['从直播频道关注来了']
老客伊舒飞婷1023 07:09,"['', '老客']",07:09,['从推荐来了']
新客我想静静 07:09,"['', '新客']",07:09,['进入直播间']
新客幸运小吉吉 07:09,"['', '新客']",07:09,['从推荐来了']
未关注新客吉米布丁乐乐 07:09,"['未关注', '新客']",07:09,['从推荐来了']
未关注新客薄荷味的腊八蒜 07:09,"['未关注', '新客']",07:09,['从推荐来了']
未关注新客我爱国粹888 07:09,"['未关注', '新客']",07:09,['从推荐来了']
新客爱买买1瑶 07:09,"['', '新客']",07:09,['从推荐来了']
新客小梅^_^ 07:09,"['', '新客']",07:09,['点击了 不退换 美国直邮  CK 男士半拉链卫衣刺绣标【40JP234】 内']
老客寿司蟹 07:09,"['', '老客']",07:09,['从推荐来了']
老客杜杜 07:09,"['', '老客']",07:09,['点击了 【0331025】不退换美国直邮 拉*夫 女士圆领卫衣【211923382】']
老客tbNick_bksq7 07:09,"['', '老客']",07:09,['从直播频道关注来了']
老客伊舒飞婷1023 07:09,"['', '老客']",07:09,['点击了 【0331025】不退换美国直邮 拉*夫 女士圆领卫衣【211923382】']
老客kyrrr 07:09,"['', '老客']",07:09,['点击了 【0331025】不退换美国直邮 拉*夫 女士圆领卫衣【211923382】']
老客请叫我抠抠 07:09,"['', '老客']",07:09,['点击了 【0322083】不退换美国直邮LULU WovenAir 男士 纯色休闲裤']
新客小蘑菇-up 07:09,"['', '新客']",07:09,['从直播频道关注来了']
老客zhleieeeee 07:09,"['', '老客']",07:09,['从推荐来了']
老客d[s579177200] 07:09,"['', '老客']",07:09,['从直播频道关注来了']
老客啦啦啦经 07:09,"['', '老客']",07:09,['进入直播间']
新客萍萍姐 07:09,"['', '新客']",07:09,['从直播频道关注来了']
新客茶叶咖啡 07:09,"['', '新客']",07:09,['从推荐来了']
未关注老客min87love 07:09,"['未关注', '老客']",07:09,['进入直播间']
未关注新客用户_91510588 07:09,"['未关注', '新客']",07:09,['从推荐来了']
未关注新客TB_49947974 07:10,"['未关注', '新客']",07:10,['进入直播间']
未关注新客凡凡也也 07:10,"['未关注', '新客']",07:10,['从推荐来了']
新客冰锐草 07:10,"['', '新客']",07:10,['从直播频道关注来了']
老客冬夜冰可乐 07:09,"['', '老客']",07:09,['从推荐来了']
老客养肉肉的肉肉 07:09,"['', '老客']",07:09,['从推荐来了']
新客爱情下载慢 07:09,"['', '新客']",07:09,['从推荐来了']
老客啦啦啦经 07:09,"['', '老客']",07:09,['从推荐来了']
未关注新客pochibb:开发测试1 07:10,"['未关注', '新客']",07:10,['进入直播间']
未关注新客pochibb:草莓 07:10,"['未关注', '新客']",07:10,['进入直播间']
未关注新客pochibb:柠檬 07:10,"['未关注', '新客']",07:10,['进入直播间']
老客还是小冷 07:10,"['', '老客']",07:10,['从推荐来了']
